Date,portfolio_value
2024-06-28,99950.04999999999
2024-07-01,100616.75186051663
2024-07-02,101123.28425216724
2024-07-03,101285.07487816032
2024-07-05,101538.96914788471
2024-07-08,101327.3640093637
2024-07-09,101602.48823787598
2024-07-10,102630.17194279254
2024-07-11,102786.40347850582
2024-07-12,103125.47887611814
2024-07-15,103975.79740826579
2024-07-16,104597.78607850181
2024-07-17,105221.52343699595
2024-07-18,104847.5414052956
2024-07-19,104734.67919375957
2024-07-22,104620.71903112995
2024-07-23,105216.0925510882
2024-07-24,104839.99337298691
2024-07-25,105384.91933042381
2024-07-26,105722.77680445286
2024-07-29,105519.22165847031
2024-07-30,105953.19488035302
2024-07-31,106234.00702200586
2024-08-01,106204.03702200584
2024-08-02,105313.55948445579
2024-08-05,104554.0509505778
2024-08-06,105400.93354607945
2024-08-07,105415.19124008963
2024-08-08,107424.56178008503
2024-08-09,107821.00097372096
2024-08-12,107634.75001756365
2024-08-13,108721.47160013212
2024-08-14,109268.57127504307
2024-08-15,111433.98545007173
2024-08-16,111913.04657025731
2024-08-19,112187.44926161684
2024-08-20,112322.35534045567
2024-08-21,112373.80597630193
2024-08-22,112698.8868052229
2024-08-23,112964.3772323794
2024-08-26,113189.80797335794
2024-08-27,112984.27815532041
2024-08-28,112977.7204838548
2024-08-29,113165.8864594593
2024-08-30,113364.01997052068
2024-09-03,113341.43955248191
2024-09-04,113292.66498800713
2024-09-05,113174.20316917432
2024-09-06,112503.86883909922
2024-09-09,113737.6633736343
2024-09-10,113173.60913498486
2024-09-11,113608.66781279168
2024-09-12,114350.74207084767
2024-09-13,114800.73792326148
2024-09-16,114924.25654599695
2024-09-17,115444.86404339736
2024-09-18,115606.4503523102
2024-09-19,116954.18175156991
2024-09-20,116602.9032639892
2024-09-23,116691.49243652457
2024-09-24,116573.72381678651
2024-09-25,116024.00127687612
2024-09-26,115830.61009042771
2024-09-27,116484.82812898612
2024-09-30,116456.46355871222
2024-10-01,116712.45877220843
2024-10-02,116870.39622648383
2024-10-03,116628.79409154822
2024-10-04,117635.04429184826
2024-10-07,117218.29576264179
2024-10-08,117636.44434999113
2024-10-09,118367.64471542803
2024-10-10,118049.34264154563
2024-10-11,119606.70284767254
2024-10-14,119488.77523475891
2024-10-15,119651.0414001811
2024-10-16,120036.9946098859
2024-10-17,120255.95815793046
2024-10-18,120318.70271666883
2024-10-21,120230.48917675004
2024-10-22,120519.6569622482
2024-10-23,120272.34747676508
2024-10-24,120348.70320422601
2024-10-25,120486.54887662185
2024-10-28,120498.15502711477
2024-10-29,120472.80164783957
2024-10-30,120521.15267080015
2024-10-31,120102.58268712353
2024-11-01,121010.56237363498
2024-11-04,120919.1620040102
2024-11-05,121908.72336098715
2024-11-06,126479.94919856703
2024-11-07,126474.794376099
2024-11-08,126410.19060918018
2024-11-11,126684.6072407399
2024-11-12,126495.60563638233
2024-11-13,126447.52037912243
2024-11-14,126452.44182093852
2024-11-15,126502.54089399683
2024-11-18,126892.43191691703
2024-11-19,127039.55995089731
2024-11-20,126904.36598470865
2024-11-21,127297.4818639551
2024-11-22,128792.46692686429
2024-11-25,129710.24908924795
2024-11-26,130156.06556779133
2024-11-27,130088.9727138821
2024-11-29,130567.85552790997
2024-12-02,131024.59709808613
2024-12-03,131263.71666372765
2024-12-04,131751.73488132196
2024-12-05,131726.40257811648
