Date,portfolio_value
2025-12-01,99980.01999999999
2025-12-02,100224.05368354025
2025-12-03,100541.56912420872
2025-12-04,100704.46004958123
2025-12-05,100978.15164814373
2025-12-08,100923.74399110841
2025-12-09,101056.67427882328
2025-12-10,101434.34792323824
2025-12-11,101437.36582204829
2025-12-12,101412.44309832211
2025-12-15,101108.40142568617
2025-12-16,100718.52888049744
2025-12-17,99918.57937696142
2025-12-18,100304.22608747671
2025-12-19,100696.13972702727
2025-12-22,100983.01717754503
2025-12-23,101188.32695729083
2025-12-24,101418.67787818259
2025-12-26,101447.27920389436
2025-12-29,101289.4352898717
2025-12-30,101374.76709859434
2025-12-31,101032.40405915416
2026-01-02,101290.63033142076
2026-01-05,101933.25087743936
2026-01-06,102186.85007062832
2026-01-07,101553.51175690879
2026-01-08,101855.97674803568
2026-01-09,101995.38551442834
2026-01-12,102135.93945564656
2026-01-13,102167.93171860583
2026-01-14,102153.78890118099
2026-01-15,102412.13490146946
2026-01-16,102235.46992517004
2026-01-20,101382.8732143032
2026-01-21,101521.05397856908
2026-01-22,101692.34833874938
2026-01-23,101544.44620785603
2026-01-26,101682.24826520958
2026-01-27,101982.9483359533
2026-01-28,101734.82266307739
2026-01-29,102111.86257814184
2026-01-30,101761.40566103763
2026-02-02,102512.72840634064
2026-02-03,102359.60598122125
2026-02-04,102000.13471924813
2026-02-05,100461.72567006704
2026-02-06,100545.07757072034
2026-02-09,100959.0673601657
2026-02-10,100661.23131712963
2026-02-11,99907.27311838075
2026-02-12,99088.76207705865
2026-02-13,99343.74178029825
2026-02-17,99340.94766887387
2026-02-18,99852.55045365308
2026-02-19,99408.31358740506
2026-02-20,99752.29482402744
2026-02-23,98501.82277238977
2026-02-24,98756.40459832895
2026-02-25,99730.97001296762
2026-02-26,99705.98909187409
2026-02-27,98258.14600683638
2026-03-02,98601.43944772941
2026-03-03,97956.12346447946
2026-03-04,98539.65311245751
2026-03-05,97724.91646502762
2026-03-06,97119.76007376413
2026-03-09,97393.48651953234
2026-03-10,97770.43463221258
2026-03-11,97470.1465407633
2026-03-12,96245.50690632578
2026-03-13,95597.91818039629
2026-03-16,96250.01369408496
2026-03-17,96730.16991006357
2026-03-18,95718.86294264591
2026-03-19,95383.96066371398
2026-03-20,94300.08100520173
2026-03-23,95417.9434470342
2026-03-24,94968.14735664616
2026-03-25,95672.16438354409
2026-03-26,94478.06365746382
2026-03-27,92859.18403627565
2026-03-30,92805.81702582538
2026-03-31,95610.82254184238
2026-04-01,97115.14027378923
2026-04-02,96979.4835724911
2026-04-06,97494.34131658624
2026-04-07,97512.9361040075
2026-04-08,98260.62268527804
2026-04-09,98450.01991230616
2026-04-10,98088.68552957308
